"topic","term","beta"
1,"intermeet",6.67398675387591e-47
2,"intermeet",2.62290092091948e-42
3,"intermeet",1.37005824475195e-61
4,"intermeet",0.00359017135983757
5,"intermeet",2.16723602684796e-06
6,"intermeet",1.59939001639193e-39
7,"intermeet",5.02638684826554e-84
8,"intermeet",4.03571519234636e-59
9,"intermeet",3.71584475682181e-63
10,"intermeet",7.10006834216578e-62
11,"intermeet",1.09057024727809e-58
12,"intermeet",1.44706820491645e-57
13,"intermeet",3.71803187320807e-19
14,"intermeet",1.340171214275e-54
15,"intermeet",0.00195482737478015
16,"intermeet",2.51358059933178e-65
17,"intermeet",3.21129738034323e-57
18,"intermeet",1.4399464206095e-34
19,"intermeet",1.24672502192611e-29
20,"intermeet",3.60047583036861e-63
21,"intermeet",1.11529705113457e-73
22,"intermeet",0.0117589810888094
23,"intermeet",0.00582611485821966
24,"intermeet",6.18745644944805e-106
25,"intermeet",6.7997633719322e-62
26,"intermeet",2.30684955825786e-71
27,"intermeet",0.00134305428776428
28,"intermeet",1.35773958666166e-58
29,"intermeet",0.00169888293027391
30,"intermeet",6.86250030155289e-32
1,"issu",0.000572091169806578
2,"issu",0.00180193730477231
3,"issu",4.77043704700507e-08
4,"issu",1.50356802392745e-17
5,"issu",1.93361509111534e-17
6,"issu",4.77562072683197e-07
7,"issu",0.000938712287730102
8,"issu",1.28192949210827e-05
9,"issu",0.0011308126674373
10,"issu",0.000907073910577028
11,"issu",0.00071426681133102
12,"issu",1.61054427468502e-06
13,"issu",0.000527429114265045
14,"issu",0.00045017054340547
15,"issu",2.33863126159402e-12
16,"issu",0.000739212480329981
17,"issu",0.00968750337746007
18,"issu",0.00101581638351621
19,"issu",0.000821095866928351
20,"issu",0.000434671142046517
21,"issu",0.00333513850455497
22,"issu",0.00250034939844899
23,"issu",0.0141311036297365
24,"issu",0.00019597424350101
25,"issu",0.000820953793028828
26,"issu",0.00499554434622156
27,"issu",1.39986833742561e-06
28,"issu",0.00112800929540931
29,"issu",0.000127134604884539
30,"issu",3.29524102327407e-07
1,"meet",3.0209745495855e-08
2,"meet",0.000128551858767649
3,"meet",5.5070900420219e-06
