"topic","term","beta"
32,"domest",0.00268005830335706
33,"domest",2.8333243139176e-07
34,"domest",2.26335338890771e-07
35,"domest",0.0197679356978808
36,"domest",1.9970990139723e-07
37,"domest",2.75595078673626e-06
38,"domest",2.57783581918338e-07
39,"domest",2.47674767365283e-07
40,"domest",1.49675863710441e-05
1,"feder",1.95644063190685e-07
2,"feder",2.39140452688094e-07
3,"feder",0.142693359034571
4,"feder",2.49224103061145e-07
5,"feder",2.35620493610797e-07
6,"feder",5.49152696614317e-06
7,"feder",2.1496440296969e-07
8,"feder",0.00565619614194543
9,"feder",2.64318048621545e-06
10,"feder",2.87449412496519e-07
11,"feder",2.06449353947714e-07
12,"feder",2.58937016936811e-07
13,"feder",3.59171872805952e-06
14,"feder",6.36349559540046e-06
15,"feder",0.00474041851568221
16,"feder",6.65292729874198e-06
17,"feder",1.16113987685687e-05
18,"feder",2.16712288215207e-07
19,"feder",2.57418611314115e-07
20,"feder",2.93794214193022e-07
21,"feder",1.69552938072654e-07
22,"feder",0.000756671585551341
23,"feder",2.37422371787765e-07
24,"feder",2.85064907854194e-07
25,"feder",2.85158389801824e-07
26,"feder",1.87335273752099e-07
27,"feder",2.12083994593555e-07
28,"feder",2.99729374347901e-07
29,"feder",0.00204753670731286
30,"feder",2.85349608914093e-07
31,"feder",1.54424819280495e-07
32,"feder",2.38206230855663e-07
33,"feder",2.8333243139176e-07
34,"feder",0.0234417773842561
35,"feder",2.67275127403371e-07
36,"feder",1.9970990139723e-07
37,"feder",2.50540980612388e-07
38,"feder",2.57783581918338e-07
39,"feder",2.47674767365283e-07
40,"feder",2.93482085706748e-07
1,"financi",1.95644063190685e-07
2,"financi",2.39140452688094e-07
3,"financi",0.0275183519882163
4,"financi",2.7414651336726e-06
5,"financi",2.35620493610797e-07
6,"financi",2.61501284102056e-07
7,"financi",2.1496440296969e-07
8,"financi",1.98944678060759e-07
9,"financi",0.00214361937432073
10,"financi",2.87449412496519e-07
11,"financi",0.00229798775879201
12,"financi",0.0032188460575415
13,"financi",8.72274548243026e-06
14,"financi",3.03023599780975e-07
15,"financi",3.05223006611435e-07
16,"financi",2.14610558023935e-07
17,"financi",2.8320484801387e-07
18,"financi",2.62221868740401e-05
19,"financi",2.57418611314115e-07
20,"financi",2.93794214193022e-07
21,"financi",1.69552938072654e-07
22,"financi",0.00860384602200665
23,"financi",0.00274009159280259
24,"financi",2.85064907854194e-07
25,"financi",0.0765396485650972
26,"financi",1.87335273752099e-07
27,"financi",2.12083994593555e-07
28,"financi",0.0652304034687081
29,"financi",3.05556888123096e-07
30,"financi",2.85349608914093e-07
31,"financi",1.54424819280495e-07
32,"financi",5.00233084796892e-06
33,"financi",2.8333243139176e-07
34,"financi",2.26335338890771e-07
35,"financi",2.67275127403371e-07
36,"financi",0.00693013328838529
37,"financi",0.00016059676857254
38,"financi",2.57783581918338e-07
39,"financi",2.47674767365283e-07
40,"financi",2.93482085706748e-07
1,"follow",6.06496595891123e-06
2,"follow",0.000755922970947066
3,"follow",0.00636212428816559
4,"follow",2.49224103061145e-07
5,"follow",0.0023917836306432
6,"follow",0.000235612656975952
7,"follow",0.000720345714351432
8,"follow",1.98944678060759e-07
9,"follow",2.64318048621545e-06
10,"follow",2.87449412496519e-07
11,"follow",2.27094289342486e-06
12,"follow",4.68676000655628e-05
13,"follow",0.00172590636594517
14,"follow",3.03023599780975e-07
15,"follow",0.00130971192136967
16,"follow",0.00089943284867831
17,"follow",0.00192324412286219
18,"follow",2.16712288215207e-07
19,"follow",0.00350887309082269
20,"follow",3.23173635612325e-06
21,"follow",0.000427442956881162
22,"follow",3.14453560450014e-05
23,"follow",0.00127044711143633
24,"follow",0.000504849951809777
25,"follow",2.85158389801824e-07
26,"follow",0.000571559920217654
27,"follow",6.5746038324002e-06
28,"follow",2.99729374347901e-07
29,"follow",0.00420171276858068
30,"follow",2.85349608914093e-07
31,"follow",0.000514389073023328
32,"follow",0.00123414648206319
33,"follow",2.8333243139176e-07
34,"follow",0.00108663596201459
35,"follow",0.000200723620679932
36,"follow",0.00239871562568213
37,"follow",2.50540980612388e-07
38,"follow",0.00254715957293509
39,"follow",0.000262782928174565
40,"follow",3.25765115134489e-05
1,"growth",1.95644063190685e-07
2,"growth",2.39140452688094e-07
3,"growth",3.81399453759702e-07
4,"growth",2.49224103061145e-07
5,"growth",4.94803036582674e-06
6,"growth",2.61501284102056e-07
7,"growth",2.1496440296969e-07
8,"growth",1.01461785810987e-05
9,"growth",2.40289135110496e-07
10,"growth",2.87449412496519e-07
11,"growth",2.06449353947714e-07
12,"growth",2.58937016936811e-07
13,"growth",1.71034225145691e-07
14,"growth",3.33325959759072e-06
15,"growth",3.05223006611435e-07
16,"growth",4.50682171850263e-06
17,"growth",2.8320484801387e-07
18,"growth",2.16712288215207e-07
19,"growth",2.57418611314115e-07
20,"growth",2.93794214193022e-07
21,"growth",1.69552938072654e-07
22,"growth",2.83291495900914e-07
23,"growth",2.37422371787765e-07
24,"growth",2.85064907854194e-07
25,"growth",2.85158389801824e-07
26,"growth",1.87335273752099e-07
27,"growth",2.12083994593555e-07
28,"growth",2.99729374347901e-07
29,"growth",3.05556888123096e-07
30,"growth",3.45273026786053e-05
31,"growth",1.54424819280495e-07
32,"growth",2.38206230855663e-07
33,"growth",5.94998105922696e-06
34,"growth",0.0050814546934367
35,"growth",0.142524728962975
36,"growth",1.9970990139723e-07
37,"growth",2.50540980612388e-07
38,"growth",2.83561940110172e-06
39,"growth",2.47674767365283e-07
40,"growth",2.93482085706748e-07
1,"implement",1.95644063190685e-07
2,"implement",2.89359947752594e-05
3,"implement",0.00100727595737937
4,"implement",2.49224103061145e-07
5,"implement",2.37976698546905e-05
6,"implement",2.61501284102056e-07
7,"implement",2.1496440296969e-07
8,"implement",1.98944678060759e-07
9,"implement",2.40289135110496e-07
10,"implement",2.87449412496519e-07
11,"implement",2.06449353947714e-07
12,"implement",2.58937016936811e-07
13,"implement",1.71034225145691e-07
14,"implement",3.03023599780975e-07
15,"implement",0.00194457577512146
16,"implement",2.14610558023935e-07
17,"implement",3.11525332815258e-06
18,"implement",2.16712288215207e-07
19,"implement",2.57418611314115e-07
20,"implement",2.93794214193022e-07
21,"implement",1.69552938072654e-07
22,"implement",2.83291495900914e-07
23,"implement",2.37422371787765e-07
24,"implement",2.85064907854194e-07
25,"implement",0.00498485381212568
26,"implement",1.87335273752099e-07
27,"implement",2.33292394052911e-06
28,"implement",6.29431686130593e-06
29,"implement",6.41669465058501e-06
30,"implement",2.85349608914093e-07
31,"implement",1.69867301208544e-06
32,"implement",2.88229539335352e-05
33,"implement",0.00134894570585617
34,"implement",2.26335338890771e-07
35,"implement",2.67275127403371e-07
36,"implement",1.9970990139723e-07
37,"implement",2.50540980612388e-07
38,"implement",2.57783581918338e-07
39,"implement",2.47674767365283e-07
40,"implement",2.93482085706748e-07
1,"inform",1.95644063190685e-07
2,"inform",2.39140452688094e-07
3,"inform",3.81399453759702e-07
4,"inform",2.49224103061145e-07
5,"inform",2.35620493610797e-07
6,"inform",2.61501284102056e-07
7,"inform",2.1496440296969e-07
8,"inform",1.98944678060759e-07
9,"inform",2.40289135110496e-07
10,"inform",2.87449412496519e-07
11,"inform",2.06449353947714e-07
12,"inform",2.58937016936811e-07
13,"inform",1.71034225145691e-07
14,"inform",3.03023599780975e-07
15,"inform",0.00645577181283847
16,"inform",2.14610558023935e-07
17,"inform",3.11525332815258e-06
18,"inform",2.16712288215207e-07
19,"inform",2.85734658558667e-05
20,"inform",0.0172048829773576
21,"inform",1.69552938072654e-07
22,"inform",2.83291495900914e-07
23,"inform",2.37422371787765e-07
24,"inform",2.85064907854194e-07
25,"inform",0.00811874451604772
26,"inform",2.06068801127309e-06
