year,month,pub_date,meet_date,source
2017,September,11/10/2017,19/09/2017,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2017,October,22/11/2017,31/10/2017,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2017,December,03/01/2018,12/12/2017,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2018,January,21/02/2018,30/01/2018,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2018,March,11/04/2018,19/03/2018,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2018,May,23/05/2018,01/05/2018,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2018,June,05/07/2018,12/06/2018,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2018,July,22/08/2018,31/07/2018,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2018,September,12/10/2018,25/09/2018,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2018,November,29/11/2018,07/11/2018,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2018,December,09/01/2019,18/12/2018,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
