"unique_id","meeting_id","meet_date","pub_date","quarter","wordcount","sentiment"
"FEDp_185","FEDm_6","1993-09-21","1993-11-19","1993-07-01",119,0.0725806451612903
"FEDp_186","FEDm_6","1993-09-21","1993-11-19","1993-07-01",64,0.0153846153846154
"FEDp_187","FEDm_6","1993-09-21","1993-11-19","1993-07-01",146,0.0264900662251656
"FEDp_188","FEDm_6","1993-09-21","1993-11-19","1993-07-01",72,0.0136986301369863
"FEDp_189","FEDm_6","1993-09-21","1993-11-19","1993-07-01",59,-0.111111111111111
"FEDp_190","FEDm_6","1993-09-21","1993-11-19","1993-07-01",126,-0.0390625
"FEDp_191","FEDm_6","1993-09-21","1993-11-19","1993-07-01",47,0.0784313725490196
"FEDp_192","FEDm_6","1993-09-21","1993-11-19","1993-07-01",69,-0.10958904109589
"FEDp_193","FEDm_6","1993-09-21","1993-11-19","1993-07-01",115,-0.0431034482758621
"FEDp_194","FEDm_6","1993-09-21","1993-11-19","1993-07-01",63,0.046875
"FEDp_195","FEDm_6","1993-09-21","1993-11-19","1993-07-01",21,0.0476190476190476
"FEDp_196","FEDm_6","1993-09-21","1993-11-19","1993-07-01",81,-0.0217391304347826
"FEDp_197","FEDm_6","1993-09-21","1993-11-19","1993-07-01",28,-0.0357142857142857
"FEDp_198","FEDm_6","1993-09-21","1993-11-19","1993-07-01",30,-0.0769230769230769
"FEDp_199","FEDm_6","1993-09-21","1993-11-19","1993-07-01",101,-0.0186915887850467
"FEDp_200","FEDm_6","1993-09-21","1993-11-19","1993-07-01",48,0.0408163265306122
"FEDp_201","FEDm_7","1993-11-16","1993-12-23","1993-10-01",32,0.0294117647058824
"FEDp_202","FEDm_7","1993-11-16","1993-12-23","1993-10-01",47,0.0625
"FEDp_203","FEDm_7","1993-11-16","1993-12-23","1993-10-01",41,-0.0208333333333333
"FEDp_204","FEDm_7","1993-11-16","1993-12-23","1993-10-01",47,0.0816326530612245
"FEDp_205","FEDm_7","1993-11-16","1993-12-23","1993-10-01",86,0.0645161290322581
"FEDp_206","FEDm_7","1993-11-16","1993-12-23","1993-10-01",60,0.0327868852459016
"FEDp_207","FEDm_7","1993-11-16","1993-12-23","1993-10-01",71,-0.0512820512820513
"FEDp_208","FEDm_7","1993-11-16","1993-12-23","1993-10-01",71,-0.116883116883117
"FEDp_209","FEDm_7","1993-11-16","1993-12-23","1993-10-01",99,0.0490196078431373
"FEDp_210","FEDm_7","1993-11-16","1993-12-23","1993-10-01",57,0.0338983050847458
"FEDp_211","FEDm_7","1993-11-16","1993-12-23","1993-10-01",40,-0.0238095238095238
"FEDp_212","FEDm_7","1993-11-16","1993-12-23","1993-10-01",73,0.025974025974026
"FEDp_213","FEDm_7","1993-11-16","1993-12-23","1993-10-01",33,0.0571428571428571
"FEDp_214","FEDm_7","1993-11-16","1993-12-23","1993-10-01",65,-0.0131578947368421
"FEDp_215","FEDm_7","1993-11-16","1993-12-23","1993-10-01",92,0.03125
"FEDp_216","FEDm_7","1993-11-16","1993-12-23","1993-10-01",115,-0.0578512396694215
"FEDp_217","FEDm_7","1993-11-16","1993-12-23","1993-10-01",121,0.0238095238095238
"FEDp_218","FEDm_7","1993-11-16","1993-12-23","1993-10-01",160,0.0375
"FEDp_219","FEDm_7","1993-11-16","1993-12-23","1993-10-01",83,0.0454545454545455
"FEDp_220","FEDm_7","1993-11-16","1993-12-23","1993-10-01",88,-0.0555555555555556
"FEDp_221","FEDm_7","1993-11-16","1993-12-23","1993-10-01",91,-0.021505376344086
"FEDp_222","FEDm_7","1993-11-16","1993-12-23","1993-10-01",133,-0.0215827338129496
"FEDp_223","FEDm_7","1993-11-16","1993-12-23","1993-10-01",234,0.00833333333333333
"FEDp_224","FEDm_7","1993-11-16","1993-12-23","1993-10-01",71,-0.0135135135135135
"FEDp_225","FEDm_7","1993-11-16","1993-12-23","1993-10-01",60,0.0491803278688525
"FEDp_226","FEDm_7","1993-11-16","1993-12-23","1993-10-01",21,0.0476190476190476
"FEDp_227","FEDm_7","1993-11-16","1993-12-23","1993-10-01",67,-0.012987012987013
"FEDp_228","FEDm_7","1993-11-16","1993-12-23","1993-10-01",17,0
"FEDp_229","FEDm_7","1993-11-16","1993-12-23","1993-10-01",35,0.0476190476190476
"FEDp_230","FEDm_7","1993-11-16","1993-12-23","1993-10-01",101,-0.0186915887850467
"FEDp_231","FEDm_7","1993-11-16","1993-12-23","1993-10-01",48,0.0408163265306122
"FEDp_232","FEDm_7","1993-11-16","1993-12-23","1993-10-01",31,-0.0303030303030303
"FEDp_233","FEDm_8","1993-12-21","1994-02-04","1993-10-01",32,0.0294117647058824
"FEDp_234","FEDm_8","1993-12-21","1994-02-04","1993-10-01",53,0.127272727272727
"FEDp_235","FEDm_8","1993-12-21","1994-02-04","1993-10-01",58,0.0158730158730159
"FEDp_236","FEDm_8","1993-12-21","1994-02-04","1993-10-01",39,0.0930232558139535
"FEDp_237","FEDm_8","1993-12-21","1994-02-04","1993-10-01",62,0.0579710144927536
"FEDp_238","FEDm_8","1993-12-21","1994-02-04","1993-10-01",61,0.0615384615384615
"FEDp_239","FEDm_8","1993-12-21","1994-02-04","1993-10-01",72,-0.0666666666666667
"FEDp_240","FEDm_8","1993-12-21","1994-02-04","1993-10-01",54,0
"FEDp_241","FEDm_8","1993-12-21","1994-02-04","1993-10-01",79,0.0476190476190476
"FEDp_242","FEDm_8","1993-12-21","1994-02-04","1993-10-01",57,0.0338983050847458
"FEDp_243","FEDm_8","1993-12-21","1994-02-04","1993-10-01",32,0
"FEDp_244","FEDm_8","1993-12-21","1994-02-04","1993-10-01",58,0.0158730158730159
"FEDp_245","FEDm_8","1993-12-21","1994-02-04","1993-10-01",47,-0.0816326530612245
"FEDp_246","FEDm_8","1993-12-21","1994-02-04","1993-10-01",63,-0.0140845070422535
"FEDp_247","FEDm_8","1993-12-21","1994-02-04","1993-10-01",72,0.0266666666666667
"FEDp_248","FEDm_8","1993-12-21","1994-02-04","1993-10-01",134,-0.0359712230215827
"FEDp_249","FEDm_8","1993-12-21","1994-02-04","1993-10-01",122,0.0078740157480315
"FEDp_250","FEDm_8","1993-12-21","1994-02-04","1993-10-01",129,0.0451127819548872
"FEDp_251","FEDm_8","1993-12-21","1994-02-04","1993-10-01",106,0.0280373831775701
"FEDp_252","FEDm_8","1993-12-21","1994-02-04","1993-10-01",55,0
"FEDp_253","FEDm_8","1993-12-21","1994-02-04","1993-10-01",93,-0.0106382978723404
"FEDp_254","FEDm_8","1993-12-21","1994-02-04","1993-10-01",69,0.0684931506849315
"FEDp_255","FEDm_8","1993-12-21","1994-02-04","1993-10-01",141,0.0202702702702703
"FEDp_256","FEDm_8","1993-12-21","1994-02-04","1993-10-01",93,-0.010752688172043
"FEDp_257","FEDm_8","1993-12-21","1994-02-04","1993-10-01",196,-0.0301507537688442
"FEDp_258","FEDm_8","1993-12-21","1994-02-04","1993-10-01",32,-0.09375
"FEDp_259","FEDm_8","1993-12-21","1994-02-04","1993-10-01",118,-0.0333333333333333
"FEDp_260","FEDm_8","1993-12-21","1994-02-04","1993-10-01",63,0.046875
"FEDp_261","FEDm_8","1993-12-21","1994-02-04","1993-10-01",21,0.0476190476190476
"FEDp_262","FEDm_8","1993-12-21","1994-02-04","1993-10-01",74,0.0238095238095238
"FEDp_263","FEDm_8","1993-12-21","1994-02-04","1993-10-01",25,0
"FEDp_264","FEDm_8","1993-12-21","1994-02-04","1993-10-01",35,0
"FEDp_265","FEDm_8","1993-12-21","1994-02-04","1993-10-01",101,-0.0186915887850467
"FEDp_266","FEDm_8","1993-12-21","1994-02-04","1993-10-01",48,0.0408163265306122
"FEDp_267","FEDm_8","1993-12-21","1994-02-04","1993-10-01",65,-0.0757575757575758
"FEDp_268","FEDm_8","1993-12-21","1994-02-04","1993-10-01",76,0
"FEDp_269","FEDm_8","1993-12-21","1994-02-04","1993-10-01",40,-0.05
"FEDp_270","FEDm_9","1994-02-04","1994-03-25","1994-01-01",36,0.0263157894736842
"FEDp_271","FEDm_9","1994-02-04","1994-03-25","1994-01-01",54,0.0545454545454545
"FEDp_272","FEDm_9","1994-02-04","1994-03-25","1994-01-01",86,0.0106382978723404
"FEDp_273","FEDm_9","1994-02-04","1994-03-25","1994-01-01",50,0.0555555555555556
"FEDp_274","FEDm_9","1994-02-04","1994-03-25","1994-01-01",82,0.0617283950617284
