"unique_id","date"
"nyt_ec_news67917","1993-05-17"
"nyt_ec_news67918","1993-05-17"
"nyt_ec_news67919","1993-05-17"
"nyt_ec_news67920","1993-05-17"
"nyt_ec_news67921","1993-05-17"
"nyt_ec_news67903","1993-05-18"
"nyt_ec_news67904","1993-05-18"
"nyt_ec_news67905","1993-05-18"
"nyt_ec_news67906","1993-05-18"
"nyt_ec_news67907","1993-05-18"
"nyt_ec_news67908","1993-05-18"
"nyt_ec_news67909","1993-05-18"
"nyt_ec_news67910","1993-05-18"
"nyt_ec_news67889","1993-05-19"
"nyt_ec_news67890","1993-05-19"
"nyt_ec_news67891","1993-05-19"
"nyt_ec_news67892","1993-05-19"
"nyt_ec_news67893","1993-05-19"
"nyt_ec_news67894","1993-05-19"
"nyt_ec_news67895","1993-05-19"
"nyt_ec_news67896","1993-05-19"
"nyt_ec_news67897","1993-05-19"
"nyt_ec_news67898","1993-05-19"
"nyt_ec_news67899","1993-05-19"
"nyt_ec_news67900","1993-05-19"
"nyt_ec_news67901","1993-05-19"
"nyt_ec_news67902","1993-05-19"
"nyt_ec_news68049","1993-05-20"
"nyt_ec_news68050","1993-05-20"
"nyt_ec_news68051","1993-05-20"
"nyt_ec_news68052","1993-05-20"
"nyt_ec_news68053","1993-05-20"
"nyt_ec_news68054","1993-05-20"
"nyt_ec_news68055","1993-05-20"
"nyt_ec_news68056","1993-05-20"
"nyt_ec_news68057","1993-05-20"
"nyt_ec_news68058","1993-05-20"
"nyt_ec_news68059","1993-05-20"
"nyt_ec_news68060","1993-05-20"
"nyt_ec_news68061","1993-05-20"
"nyt_ec_news68062","1993-05-20"
"nyt_ec_news68063","1993-05-20"
"nyt_ec_news68064","1993-05-20"
"nyt_ec_news68065","1993-05-20"
"nyt_ec_news68066","1993-05-20"
"nyt_ec_news68067","1993-05-20"
"nyt_ec_news68038","1993-05-21"
"nyt_ec_news68039","1993-05-21"
"nyt_ec_news68040","1993-05-21"
"nyt_ec_news68041","1993-05-21"
"nyt_ec_news68042","1993-05-21"
"nyt_ec_news68043","1993-05-21"
"nyt_ec_news68044","1993-05-21"
"nyt_ec_news68045","1993-05-21"
"nyt_ec_news68046","1993-05-21"
"nyt_ec_news68047","1993-05-21"
"nyt_ec_news68048","1993-05-21"
"nyt_ec_news68017","1993-05-22"
"nyt_ec_news68018","1993-05-22"
"nyt_ec_news68019","1993-05-22"
"nyt_ec_news68020","1993-05-22"
"nyt_ec_news68021","1993-05-22"
"nyt_ec_news68022","1993-05-22"
"nyt_ec_news68023","1993-05-22"
"nyt_ec_news68024","1993-05-22"
"nyt_ec_news68025","1993-05-22"
"nyt_ec_news68026","1993-05-22"
"nyt_ec_news68027","1993-05-22"
"nyt_ec_news68028","1993-05-22"
"nyt_ec_news68029","1993-05-22"
"nyt_ec_news68030","1993-05-22"
"nyt_ec_news68031","1993-05-22"
"nyt_ec_news68032","1993-05-22"
"nyt_ec_news68033","1993-05-22"
"nyt_ec_news68034","1993-05-22"
"nyt_ec_news68035","1993-05-22"
"nyt_ec_news68036","1993-05-22"
"nyt_ec_news68037","1993-05-22"
"nyt_ec_news68006","1993-05-23"
"nyt_ec_news68007","1993-05-23"
"nyt_ec_news68008","1993-05-23"
"nyt_ec_news68009","1993-05-23"
"nyt_ec_news68010","1993-05-23"
"nyt_ec_news68011","1993-05-23"
"nyt_ec_news68012","1993-05-23"
"nyt_ec_news68013","1993-05-23"
"nyt_ec_news68014","1993-05-23"
"nyt_ec_news68015","1993-05-23"
"nyt_ec_news68016","1993-05-23"
"nyt_ec_news67997","1993-05-24"
"nyt_ec_news67998","1993-05-24"
"nyt_ec_news67999","1993-05-24"
"nyt_ec_news68000","1993-05-24"
"nyt_ec_news68001","1993-05-24"
"nyt_ec_news68002","1993-05-24"
"nyt_ec_news68003","1993-05-24"
"nyt_ec_news68004","1993-05-24"
"nyt_ec_news68005","1993-05-24"
"nyt_ec_news67985","1993-05-25"
"nyt_ec_news67986","1993-05-25"
"nyt_ec_news67987","1993-05-25"
"nyt_ec_news67988","1993-05-25"
"nyt_ec_news67989","1993-05-25"
"nyt_ec_news67990","1993-05-25"
"nyt_ec_news67991","1993-05-25"
"nyt_ec_news67992","1993-05-25"
"nyt_ec_news67993","1993-05-25"
"nyt_ec_news67994","1993-05-25"
"nyt_ec_news67995","1993-05-25"
"nyt_ec_news67996","1993-05-25"
"nyt_ec_news67976","1993-05-26"
"nyt_ec_news67977","1993-05-26"
"nyt_ec_news67978","1993-05-26"
