"variable","quarter","dispersion","f1_dispersion","variable_act","GB_nowcast","SPF_nowcast","GB_forecast1","SPF_forecast1","GB_now_error_abs","SPF_now_error_abs","GB_now_error_abs_std","SPF_now_error_abs_std","GB_SPF_now_gap_abs","GB_SPF_f1_gap_abs","GB_SPF_now_gap_abs_std","GB_SPF_f1_gap_abs_std","SPF_update_abs","GB_update_abs","SPF_update_abs_std","GB_update_abs_std","period"
"CPI",2011-10-01,0.9484,0.9727,1.3,0.9,1.8956,1.5,2.138,0.4,0.5956,0.732745901811166,-0.290403902459652,0.9956,0.638,0.199699410791476,-0.196474250573247,0.0245,0.3,-0.739979989007864,-0.678327821557843,"76"
"CPI",2012-01-01,0.9,0.9005,2.5,2.4,1.9964,2.6,1.8825,0.1,0.5036,-0.621981986421105,-0.398049209611119,0.4036,0.7175,-0.519599177896445,-0.104314052400036,0.1416,0.9,-0.587572710519886,-0.114226187568031,"77"
"CPI",2012-04-01,0.9,0.53,0.8,0.6,2.0715,-0.4,2.1021,0.2,1.2715,-0.170406023677015,0.500438087797704,1.4715,2.5021,0.777932853961378,1.96447952822778,0.189,2,-0.525880951336879,0.919960141413292,"78"
"CPI",2012-07-01,0.8232,0.6,2.1,2.5,1.6892,2.1,2.064,0.4,0.4108,0.732745901811165,-0.506630562911729,0.8108,0.036,-0.0248383918935372,-0.894341411582966,0.4129,2.9,-0.234471987601112,1.76611259239801,"79"
"CPI",2012-10-01,0.815,0.7407,2.2,2.3,2.2888,1.2,1.9553,0.0999999999999996,0.0888,-0.621981986421107,-0.883389137941864,0.0111999999999997,0.7553,-0.996377499182156,-0.0604944864761701,0.2248,0.2,-0.479286753472919,-0.772344760556145,"80"
"CPI",2013-01-01,1.1,0.5,1.4,1.4,1.6958,1.1,1.9431,0,0.2958,-1.0735579491652,-0.641187196851063,0.2958,0.8431,-0.650579562796036,0.0412874682358786,0.2595,0.2,-0.434124220906456,-0.772344760556145,"81"
"CPI",2013-04-01,1.4,0.5,0,-0.2,1.2007,1.4,2.1465,0.2,1.2007,-0.170406023677015,0.417598003598532,1.4007,0.7465,0.691908630854782,-0.0706958669028901,0.7424,1.3,0.194376844694265,0.261841568425178,"82"
"CPI",2013-07-01,1.5,0.7,2.2,2.5,2.1038,1.5,1.7175,0.3,0.0962000000000001,0.281169939067074,-0.87473071106229,0.3962,0.2175,-0.528590410255044,-0.683937940281863,0.0427,1.1,-0.71629243590384,0.0738076904285736,"83"
"CPI",2013-10-01,0.7597,0.605,1.1,0.9,1.6425,2,1.6953,0.2,0.5425,-0.170406023677015,-0.352533965609031,0.7425,0.3047,-0.107825036500606,-0.582851534235273,0.075,0.6,-0.674253536713731,-0.396277004562937,"84"
"CPI",2014-01-01,0.6168,0.5745,1.9,1.9,1.7749,1.7,1.6249,0,0.1251,-1.0735579491652,-0.840916043924492,0.1251,0.0750999999999999,-0.857985422743719,-0.849014823550608,0.0795999999999999,0.1,-0.668266572742385,-0.866361699554447,"85"
"CPI",2014-04-01,0.5496,0.4102,3,2.5,1.9422,2,1.8569,0.5,1.0578,1.18432186455526,0.250396760207829,0.5578,0.1431,-0.332241336045639,-0.770185974798679,0.3173,0.8,-0.358896717092578,-0.208243126566333,"86"
"CPI",2014-07-01,0.6435,0.4998,1.2,1.4,2.1435,1,2.0049,0.2,0.9435,-0.170406023677015,0.116659166648995,0.7435,1.0049,-0.106610005100796,0.228853758354438,0.2866,0.6,-0.398853194031783,-0.396277004562937,"87"
"CPI",2014-10-01,1.5207,0.8653,-0.9,-0.8,0.8522,-1.3,1.6868,0.1,1.7522,-0.621981986421106,1.06288481766412,1.6522,2.9868,0.997489027907168,2.52636692514042,1.1527,1.8,0.728388000660254,0.731926263416688,"88"
"CPI",2015-01-01,2.92,0.7642,-3.1,-3.1,-1.4252,1.7,1.5309,0,1.6748,-1.0735579491652,0.972322352734517,1.6748,0.1691,1.02494873754289,-0.740045532628824,3.112,1.8,3.2784441982819,0.731926263416688,"89"
"CPI",2015-04-01,1.462,0.9,3,3,1.6497,1.7,1.9262,0,1.3503,-1.0735579491652,0.592638633488309,1.3503,0.2262,0.630671048304324,-0.673852484632719,0.1188,1.3,-0.617247227595256,0.261841568425178,"90"
"CPI",2015-07-01,0.7212,1.1124,1.4,1.7,1.8273,-0.7,1.7448,0.3,0.4273,0.281169939067075,-0.487324611085651,0.1273,2.4448,-0.855312353664136,1.89805463067652,0.0989,0,-0.643147354340865,-0.960378638552749,"91"
"CPI",2015-10-01,1.4,0.6,0.8,0.2,0.927,-0.1,1.7479,0.6,0.127,1.63589782729935,-0.838692934320277,0.727,1.8479,-0.126658023197672,1.2060996333232,0.8178,0.9,0.292510993268078,-0.114226187568031,"92"
"CPI",2016-01-01,1.7783,1.0895,-0.3,-0.4,0.265,1.8,1.6797,0.1,0.565,-0.621981986421106,-0.326207667664379,0.665,0.1203,-0.201989969985934,-0.79661682408609,1.4829,0.3,1.1581478926904,-0.678327821557843,"93"
"CPI",2016-04-01,1.3,0.9,2.5,2.7,1.8512,2.1,1.9702,0.2,0.6488,-0.170406023677014,-0.228156833541629,0.8488,0.1298,0.0213328012992689,-0.785603970216335,0.1715,0.9,-0.548657444706132,-0.11422618756803,"94"
"CPI",2016-07-01,0.6223,0.6882,NA,1.6,1.8702,2.1,2.2205,NA,NA,NA,NA,0.2702,0.1205,-0.68168436663119,-0.796384974530938,0.0999999999999999,0.5,-0.641715689043369,-0.490293943561239,"95"
"CPI",2016-10-01,0.8687,0.4781,NA,3.4,2.411,2.5,2.1264,NA,NA,NA,NA,0.989,0.3736,0.191680203552726,-0.502979362485157,0.1905,1.3,-0.523928680476657,0.261841568425177,"96"
"CPI",2017-01-01,0.5032,0.5836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97"
"CPI",2017-04-01,1.3552,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98"
"CPI",2017-07-01,0.616,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99"
"CPI",2017-10-01,1.0061,0.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100"
"CPI",2018-01-01,0.7632,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"CPI",2018-04-01,0.7,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"CPI",2018-07-01,0.4526,0.4181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"103"
"CPI",2018-10-01,0.5047,0.3288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"104"
"CPI",2019-01-01,0.9,0.6748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105"
"CPI",2019-04-01,1.42,0.4191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106"
"CPI",2019-07-01,0.7449,0.6728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"107"
"CPI",2019-10-01,0.5652,0.5294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"108"
